,video_id,video_title,upload_date,view_count,like_count,comment_count
86,aTZGCoxOhE8,Резистенция. Беседа со Светланой Тихановской,2022-06-03,842828,71037,2830
87,XNYnlr9ySGU,День девяносто девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-06-02,1788901,391381,4933
88,mtcyXMwWSm0,День девяносто восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-06-01,1772653,253549,3396
89,mNjjg_md-qY,День девяносто седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-31,1895478,251862,5344
90,xDGuiTtUiHw,День девяносто шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-30,1979482,250510,4533
91,2OwcMuV9FsY,Святой Javelin божественный Himars. Беседа с Юрием Фёдоровым,2022-05-30,689653,56414,916
92,7Txa_GEUM2s,Мясо против железа. Беседа с Геннадием Гудковым,2022-05-29,1138951,94491,2570
93,StfLItu2F8M,День девяносто четвертый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-28,2087844,282014,5746
94,oPUihI8mTus,День девяносто третий. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-27,1953915,296525,5409
95,4CssCrrOI-I,День девяносто второй. Беседа с  Alexey Arestovych  Алексей Арестович,2022-05-26,2085386,334921,6575
96,Z15NFN_d368,День девяносто первый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-25,2093883,304352,9247
97,cUOyuFpFf4o,День девяностый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-24,1855840,229321,3889
98,v3JA2EnDQ7M,День восемьдесят девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-23,2087966,273289,5182
99,so7sPx9Dhpk,Бои в городах. Беседа с  Олег Жданов,2022-05-23,873299,88988,1190
100,so7sPx9Dhpk,Бои в городах. Беседа с  Олег Жданов,2022-05-23,873299,88988,1190
101,fldGy25M_7I,Две войны. Беседа с Ахмедом Закаевым,2022-05-22,1210282,93699,3114
102,Qroepyl7De4,День восемьдесят седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-21,2469145,254807,5288
103,EXwkCtVaaSk,Ядерное сдерживание. Беседа с Павлом Лузиным,2022-05-21,546585,44041,535
104,HkiTJsdIvQg,Репетиция похорон. Беседа с Андреем Космачем и  Валерий Соловей,2022-05-20,2262071,129711,5743
105,F0XG_tUHbUo,День восемьдесят пятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-19,2496698,261105,3522
